song_id,artists,name,release_date,year,popularity
6wt538gLCcV38weNmJjU0z,Angelo Grey Band,At the Hop,20/01/2011,2011,47
5Ukzlujip1Slqka5OY82YS,Ed Sheeran,U.N.I.,09/09/2011,2011,56
0oFCz4vOMbg9dRmV69K1vG,Cage The Elephant,Around My Head,10/01/2011,2011,47
2CG1FmeprsyjgHIPNMYCf4,"Above & Beyond', 'Richard Bedford",Sun & Moon,2011,2011,46
2Px4PrbPBMeWB1silbjI5H,Darlene Love,(Today I Met) The Boy I'm Gonna Marry,2011,2011,54
7IMK1ikz0idnl1xc6oAwjM,Spawnbreezie,Don't Let Go,01/06/2011,2011,54
4lGb7vjGqK8OZhXRozj0Go,Bon Iver,Calgary,21/06/2011,2011,50
1l5lKWHRfyY7Y3FvDBXlvJ,Portugal. The Man,Sleep Forever,29/06/2011,2011,49
3qCuJeB14uwEtuSk8ZBWzn,"Conjunto Atardecer', 'Montez de Durango",El Punto Final,01/01/2011,2011,49
2aMHA0kCzCKDiRTNEe4NJc,J. Cole,Breakdown,27/09/2011,2011,49
4N4CHJqFZHyB7SBUuSFu1y,"Mindless Behavior', 'Diggy Simmons",Mrs. Right,2011,2011,48
6gsYe0vsR4lgR1eqv1NxhY,"Dan Zanes', 'Friends', 'Andrew Bird",I Don't Need Sunny Skies,27/09/2011,2011,51
2BEZkzfIWNFSNjZMAKhyAR,A Day To Remember,All I Want - Acoustic,30/09/2011,2011,55
3RsL0gYDlwaZWxHJJwO3j8,Big Time Rush,Superstar,2011,2011,50
4PvK3MoMr3z32YBnPjgKJN,George Strait,"Love Without End, Amen",01/01/2011,2011,47
3Z469RvXlYPsKV5iCPxgt9,Spawnbreezie,Im In Love Ft. Celle,01/06/2011,2011,51
73ZwclyHPk6XcIlDkT3pwf,The Head and the Heart,Sounds Like Hallelujah,11/01/2011,2011,47
5CwOUooch74h0XarhDfAQK,Nature Sounds Nature Music,Rain Forest and Tropical Beach Sound,16/02/2011,2011,54
7zZkPiqHnL7icGGb4Almf6,M83,Reunion,2011,2011,47
6y468DyY1V67RBNCwzrMrC,Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,01/01/2011,2011,54
7n4PRAJjYzGFr1DR3KHYMU,Bad Meets Evil,Take From Me,01/01/2011,2011,52
7FyEGqO2tpOxIkVYunP8qL,Fionn Regan,Dogwood Blossom,16/08/2011,2011,46
28XDE6yXI6Bp4U3nLSGqzp,Sade,Smooth Operator - Remastered,29/04/2011,2011,60
6LfJVV4oNiz7KeDrZUf8ty,J Boog,Let's Do It Again,14/06/2011,2011,52
1O7oz3f9EuSeeX0J7t5z6J,Rise Against,Architects,01/01/2011,2011,53
5m0IsXTsXWxSbdltKmsKlI,Aaron Shust,My Hope Is In You,01/01/2011,2011,48
6Yg4IOp8eV8csWAb1b6mWY,Justin Moore,Guns,01/01/2011,2011,46
0CG1VDIBtoHTPvvBEzqKaY,FUNKIST,Ft.,17/08/2011,2011,53
6uxYfENm7zw050dNUi031W,Lady Gaga,The Edge Of Glory,01/01/2011,2011,48
3eRZZ4d2RJSqFKzP7tSdFE,Lana Del Rey,Born To Die,30/01/2012,2012,49
5Q5sQ1AgLQ1wKKXIYt6FGC,Lindsey Stirling,Elements,2012,2012,49
6B6C1OC9RUvrvBECPWtAZo,The Avett Brothers,February Seven,01/01/2012,2012,48
2bgW1SJqUjIkWcbxTPTIdy,"Nicki Minaj', 'Chris Brown",Right By My Side,01/01/2012,2012,55
2AqazcPtVXn7uhFIyInNNp,"deadmau5', 'Gerard Way",Professional Griefers - Vocal Mix,25/09/2012,2012,51
2SYMnBpx7zyhSDPQwoOlFO,Pierce The Veil,Props & Mayhem,17/07/2012,2012,51
35a4Kzyo9XY4FI9FaSIzzF,Kelly Clarkson,Stronger (What Doesn't Kill You),19/11/2012,2012,49
4JQpghvT0ZH2WLRqzlPUC7,The Weeknd,House Of Balloons / Glass Table Girls,01/01/2012,2012,48
6B3bNP0x4vyKM9aYWRvzVf,Mac DeMarco,The Stars Keep On Calling My Name,16/10/2012,2012,52
25s9gQB6i58zmOZdgdcTAQ,"Ben Harper', 'Jack Johnson",High Tide Or Low Tide,01/01/2012,2012,49
4dr5sJ1p6mdNpK3fIUz8vR,Ben Howard,Oats In The Water,01/01/2012,2012,57
02LrmnkHvOcQo6L2RBdfqu,Godsmack,"Come Together - Live From Fox Theatre Detroit, MI/2012",01/01/2012,2012,49
